Minisector,GAS,OCO,Fastest
0,254.77754554074076,258.9441194666666,OCO
1,128.83396971077792,129.9737132071324,OCO
2,200.95000175238096,194.16328471759854,GAS
3,248.17100056669173,242.3828421647059,GAS
4,261.3600076380952,259.02039578270336,GAS
5,179.78661636750877,181.64856096698077,OCO
6,143.12900402753087,149.40892906666664,OCO
7,184.50347616827125,181.4698718538463,GAS
8,104.67042133726463,102.37424938165996,GAS
9,78.45897922501088,77.62350803049989,GAS
10,94.05118901907097,93.92917585883521,GAS
11,178.19285733679655,175.35422406665415,GAS
12,247.334117258061,240.91365613515578,GAS
13,270.9733340444444,264.7640619333333,GAS
14,270.6684825777377,277.45888903111114,OCO
15,117.71829169731282,123.08387135564598,OCO
16,139.68701780610687,136.9793076229885,GAS
17,194.16665681591812,193.771389629803,GAS
18,195.86655549660992,193.32041482666665,GAS
19,213.79649122807018,222.85219458245615,OCO
20,133.63451535626348,134.15403574350134,OCO
21,117.6654189843772,116.18577792234498,GAS
22,90.0789699453185,90.23159954285714,OCO
23,195.70233242476257,191.52909663237062,GAS
24,249.69019672380952,245.36470481568625,GAS
25,,258.98749760000004,OCO
