Minisector,LEC,PER,Fastest
0,269.03541758548755,270.1366549471861,PER
1,249.33055917928377,257.60300612714866,PER
2,118.80898722234048,119.29852187006854,PER
3,167.15712449738376,154.6030102248112,LEC
4,198.8161285503952,193.64032353921053,LEC
5,195.1946039913975,184.55301445097507,LEC
6,263.10566543588124,263.45182369086484,PER
7,287.4404449879681,284.45385015734917,LEC
8,242.85034999549782,230.0644514989011,LEC
9,142.09556889681124,140.85054750356196,LEC
10,108.39018548828497,111.25029980966096,PER
11,147.546904845225,154.58829904455646,PER
12,240.28465353142857,242.43961015411253,PER
13,152.29644538166752,145.30445074980022,LEC
14,138.66110110782833,150.01941688782986,PER
15,106.49931243671328,110.14484062879072,PER
16,210.68582307133948,226.02730070003508,PER
17,240.48573599670524,230.65250176287066,LEC
18,128.35303820051948,132.85854683893643,PER
19,237.85130570846698,244.7969422377453,PER
20,275.7252657960173,275.9965121283694,PER
21,210.79389371359943,191.279339451424,LEC
22,138.98880737697283,154.95543325645886,PER
23,212.7863544093091,222.4199824432624,PER
24,218.64529847147392,226.58674228857066,PER
25,254.7285741714286,,LEC
