Minisector,SAI,OCO,Fastest
0,153.10802502472592,112.4034089948496,SAI
1,160.8668855692389,133.91049211677228,SAI
2,159.1287259753328,157.813584115942,SAI
3,114.13659698908819,155.29992958166548,OCO
4,139.84583344197532,129.8478930114341,SAI
5,133.48295350213922,153.01699314459574,OCO
6,105.97732381134762,185.76829781466756,OCO
7,176.40398437575433,151.697374457971,SAI
8,210.59467787114846,151.9176284801776,SAI
9,125.88575875725729,137.78392283942705,OCO
10,139.84532967032968,136.04178293733182,SAI
11,217.01922649190584,158.71677508108462,SAI
12,249.0182910258658,133.63787589922794,SAI
13,263.8357142857143,170.45025478866927,SAI
14,272.32472527472527,162.9185824662526,SAI
15,276.5333334153846,160.79945613913043,SAI
16,228.48677226666666,116.69485481481787,SAI
17,81.01758103362637,80.5616826256441,SAI
18,107.87289229192135,169.93562059241222,OCO
19,174.3656431206256,127.13557889720582,SAI
20,175.8804711256236,160.5687198268398,SAI
21,176.7106575963719,175.4825947071744,SAI
22,159.40107749660277,128.1043117310042,SAI
23,171.83465847272726,140.20000142222224,SAI
24,116.16138697943556,,SAI
