Minisector,BOT,NOR,Fastest
0,297.1192756592108,290.6380358552381,BOT
1,308.4645664717087,297.64702360560227,BOT
2,159.4166737606396,165.39411626666669,NOR
3,219.6061741015873,217.93469534943802,BOT
4,279.9624990877193,273.72312544,BOT
5,306.8795088937202,292.9141106913165,BOT
6,317.3237045064426,295.92872797192985,BOT
7,167.25007779990656,192.6977659047619,NOR
8,117.37083205756613,115.73206594782607,BOT
9,250.7718237968254,246.2596375292517,BOT
10,290.34999955087716,284.8148935538847,BOT
11,304.2313726028011,297.0833333333333,BOT
12,149.41817080747978,157.1522605322197,NOR
13,191.2073172994709,178.46034604137932,BOT
14,255.8058022311447,253.9203912425619,BOT
15,207.50224455384614,209.46783352967032,NOR
16,217.25497526129547,214.794667008,BOT
17,213.8178336853333,218.7133708006604,NOR
18,240.51387551995555,242.06802778412697,NOR
19,272.8502187789474,274.5301679355499,NOR
20,288.98026301754385,292.04583342222224,NOR
21,267.82660363307315,273.24919580190476,NOR
22,226.61232706666667,232.66889002947107,NOR
23,200.53254996073963,196.185582594709,BOT
24,259.27442223267894,260.46471226838185,NOR
25,276.4124992,280.0,NOR
