Minisector,PER,LEC,Fastest
0,304.4073270843296,291.6894671067105,PER
1,324.2342794855666,303.0333137833873,PER
2,334.2945113635444,308.2472222222222,PER
3,332.96190476190475,305.75578277258484,PER
4,170.87021464332008,166.0545604756444,PER
5,198.05471329683755,206.53250942173904,LEC
6,231.9082025911381,226.4042391875051,PER
7,261.9731445676538,260.5644210173353,PER
8,271.24302295953515,263.5750748204408,PER
9,160.88624796264628,155.74731766588127,PER
10,224.5822935687363,225.10163127495298,LEC
11,135.98069904940635,137.37048190126688,LEC
12,208.02138664322618,222.90766683022875,LEC
13,200.6090531724267,194.08267082966594,PER
14,199.998632272734,207.8876034329098,LEC
15,240.72549793601087,237.78124738386435,PER
16,246.69300629684273,253.7031771495022,LEC
17,280.3423341929977,282.3003418401679,LEC
18,157.8666970974242,147.26850779692694,PER
19,154.56370087832065,155.14192722054617,LEC
20,139.00167257123172,139.03443829298598,LEC
21,160.69492320144394,162.78125090707252,LEC
22,119.056246059577,115.62816205044554,PER
23,215.84669463906062,218.13994621952207,LEC
24,266.13769700214317,266.8561715594728,LEC
25,,282.85,LEC
