Minisector,VER,RIC,Fastest
0,297.3660486218552,308.76388402565874,RIC
1,298.231140322807,320.19249346031745,RIC
2,298.0859649122807,320.4293981037037,RIC
3,237.86428717404294,224.33714862050726,VER
4,235.689080595482,226.5424672820513,VER
5,114.06216428178999,113.43874019229087,VER
6,216.5865651359961,218.81295764467,RIC
7,269.6600384,271.7755952111965,RIC
8,235.8200293025349,228.10117653650806,VER
9,114.80824989746492,114.56517630581426,VER
10,235.84992888076192,235.82531256742203,VER
11,253.9077048996234,250.09433464007085,VER
12,137.47156940436804,132.48074094636996,VER
13,213.05251440311253,213.4509121912302,RIC
14,270.5224207746032,268.8057535492063,VER
15,234.18849873066665,226.39229197037784,VER
16,159.74863455022813,152.6544868846002,VER
17,241.89166715362316,239.17336333333333,VER
18,128.376485640551,121.36268268954741,VER
19,148.0042577142093,140.8512788367015,VER
20,188.88625123555553,185.6079798895347,VER
21,258.6791045643318,260.2335138782609,RIC
22,275.9346373514739,275.3392483744935,VER
23,283.5873016888889,279.9376895852915,VER
24,290.2979465447619,286.8865360979592,VER
