Minisector,OCO,KVY,Fastest
0,295.01819197142856,311.47388949333333,KVY
1,304.60885888581004,325.8792291185298,KVY
2,311.1141026461538,334.7996795897436,KVY
3,309.5243525937871,334.578621031746,KVY
4,187.7041120132505,183.68008223492063,OCO
5,97.55196274311024,95.61989408698614,OCO
6,199.3398124679833,202.73086879235734,KVY
7,253.76862775574227,261.2803601793876,KVY
8,280.2537740271524,295.4538892088889,KVY
9,288.34401073333333,298.54813227933914,KVY
10,149.75176778224858,143.2762911693796,OCO
11,173.70800119466665,172.32518580462553,OCO
12,235.42415341938073,240.57069430140055,KVY
13,241.3289855118753,230.86654010639688,OCO
14,154.36999206042694,143.7174258904315,OCO
15,209.8357757652489,211.32162437819838,KVY
16,259.1399517605698,261.59877477647063,KVY
17,280.8066669511111,285.0510999661129,KVY
18,293.6049633870252,295.96972238222224,KVY
19,301.8925015807789,300.541011868177,OCO
20,279.69408146666666,270.2560998412698,OCO
21,146.0943174024526,142.79167819528763,OCO
22,204.76390775440578,212.0156259352381,KVY
23,257.17489576694675,264.94333832061756,KVY
24,280.756750231735,293.75476266666664,KVY
