Minisector,SAI,HUL,Fastest
0,298.4514446443427,312.2021973267034,HUL
1,137.3396480878192,142.1566376529995,HUL
2,213.41987154449973,210.41973281333796,SAI
3,274.70484036548845,272.1125388876951,SAI
4,313.7349612612136,310.4415051435585,SAI
5,316.4818749061623,315.5987457281946,SAI
6,154.33493009958127,149.64176407544466,SAI
7,241.8461596442392,244.9430429479651,HUL
8,113.46732239274317,122.18557986137769,HUL
9,146.3768002855241,137.35919874135305,SAI
10,272.3902227068787,266.65003356086135,SAI
11,292.8347851954424,296.7846063390476,HUL
12,263.3036500617143,269.16888744902,HUL
13,154.10487680447469,147.07929873687746,SAI
14,270.2149197963529,269.2256035768255,SAI
15,306.58846096739035,303.5180284639813,SAI
16,323.52203950504276,320.30749520647504,SAI
17,330.3878473777778,327.6055636835979,SAI
18,336.0678620087359,333.71219541125544,SAI
19,334.7880950857143,332.72238883908904,SAI
20,241.0841572164957,246.2634496130261,HUL
21,146.97915847610676,145.94403688977374,SAI
22,276.2911855930253,269.48922437708984,SAI
23,311.07266704,307.8881448444444,SAI
24,326.1527415664645,322.7932658694372,SAI
25,,322.2989580533333,HUL
