Minisector,PIA,LIN,Fastest
0,251.17189466893672,241.3241015512545,PIA
1,136.29575279343567,138.0776010676771,LIN
2,280.78467449766237,281.9208749362028,LIN
3,313.8910914289216,319.38113072959646,LIN
4,298.38418624,301.3215373545578,LIN
5,321.08412527768115,314.8300941298835,PIA
6,324.2734034717582,313.76689722687746,PIA
7,318.5317316806324,310.33761155142037,PIA
8,185.603688828409,190.85457980589,LIN
9,192.1352612596486,189.59784535770862,PIA
10,167.91604886484805,177.38973557923083,LIN
11,173.70566283344982,165.50848432295433,PIA
12,248.61242069049229,239.86569246897923,PIA
13,263.2140419312799,250.47618895824638,PIA
14,262.69468585063333,265.0102994383238,LIN
15,248.56195593650793,246.13337843706998,PIA
16,172.7792623639827,173.3704643136722,LIN
17,187.6728238526281,188.9503334340196,LIN
18,249.7872044236991,245.9740084807372,PIA
19,294.77082539288494,298.1035402591417,LIN
20,316.28499469446695,317.52101589241784,LIN
21,293.6128063830659,294.811566807456,LIN
22,277.86238534433863,275.7962039746382,PIA
23,235.25895526279635,257.22576841609254,LIN
24,120.18612095629979,120.61048836274959,LIN
25,,220.49221073988002,LIN
