Minisector,VER,STR,Fastest
0,278.07342382423815,271.29917128707484,VER
1,293.40517076047706,291.4311856409019,VER
2,288.50716644977774,289.25038882133333,STR
3,185.2457295858079,183.0598369394297,VER
4,128.48371273105846,121.99290940988368,VER
5,241.83968613604995,234.5157474307408,VER
6,284.1154711586092,280.0107876777055,VER
7,287.7578516923077,297.6505783555555,STR
8,169.2818773561483,184.77311244654362,STR
9,144.8044052565779,139.31022141711037,VER
10,253.2952613095546,248.16219419152173,VER
11,284.771000192,285.25727931750384,STR
12,294.6134999893333,298.44141852698414,STR
13,288.019283606613,278.96530033612396,VER
14,299.8918404444444,296.90746551111107,VER
15,298.58802062222225,303.1965618410003,STR
16,258.8636277280788,254.7264293142703,VER
17,234.4218825496774,218.62763182770837,VER
18,285.2332537333333,277.0557696820513,VER
19,303.2615942956522,304.12419990714136,STR
20,300.6478330026667,311.9614582666667,STR
21,232.83640919040232,226.47041973469908,VER
22,260.50854631292515,255.7609425931615,VER
23,142.76350124965356,139.14289070786805,VER
24,217.02543983857603,202.9644874165405,VER
25,,254.33749973333335,STR
