Minisector,SAI,ALO,Fastest
0,275.8292324088259,278.4089696651082,ALO
1,295.23889148380954,298.17605335893586,ALO
2,229.75098537295543,235.7860184911464,ALO
3,116.10175106958312,111.9532485882704,SAI
4,125.56720721277246,131.0959925163147,ALO
5,244.6491514788978,249.53820283643333,ALO
6,249.93880481427595,239.34956978456262,SAI
7,121.68428723299895,119.51560410020373,SAI
8,240.803737156022,248.37134132561172,ALO
9,243.32021259988872,262.23030736690885,ALO
10,206.66283735938245,204.3638416491949,SAI
11,139.06298085070162,142.10192908356197,ALO
12,195.27251927750893,214.16550362955118,ALO
13,258.3365314089546,242.77230913547524,SAI
14,111.56236991972858,108.53439439494404,SAI
15,179.78262769390474,198.85830268964003,ALO
16,254.29807916848685,263.83877472169314,ALO
17,285.11958104776744,297.3618610831099,ALO
18,298.9607372867725,314.9888858268783,ALO
19,305.7207878734123,326.04178265367693,ALO
20,309.2932484246914,331.67673620740743,ALO
21,157.89918587525514,135.07023707938464,SAI
22,157.91152358962287,179.97081599895745,ALO
23,192.44472645736303,189.47728287444872,SAI
24,233.07164491271976,242.3538769719728,ALO
