Minisector,MAG,HAM,Fastest
0,277.20869697742927,281.21194968426755,HAM
1,231.4427159888657,237.0558426376534,HAM
2,259.5712973948779,264.00688666929295,HAM
3,279.88613852498435,283.1936427216981,HAM
4,126.77816977605879,132.6794031506287,HAM
5,207.1409491896998,206.072412234996,MAG
6,266.6153836098513,264.8644842920635,MAG
7,289.2917122221251,288.7008935212031,MAG
8,300.51511192684865,299.7448007219108,MAG
9,304.77236969570833,304.6748660182217,MAG
10,288.7433678755638,291.06519731154924,HAM
11,98.8229027278114,102.25611238587771,HAM
12,215.52918117173058,214.85391158512158,MAG
13,266.5522052788542,268.0160031254484,HAM
14,269.53414347279215,275.08140873529896,HAM
15,126.32857760819061,135.13453245152596,HAM
16,196.63864647747295,200.16357944887156,HAM
17,252.3024869952887,253.75392588421255,HAM
18,247.51611197674293,258.48633428365355,HAM
19,238.3040682735137,240.16510693929712,HAM
20,151.84905848039054,160.43874117616784,HAM
21,183.48538867795665,185.19661153390217,HAM
22,164.77745487161718,169.09586174980802,HAM
23,187.7300035189068,186.1525000684051,MAG
24,248.49349562074,247.5238466430382,MAG
25,,272.5833344,HAM
