Minisector,PIA,BOR,Fastest
0,321.8654399085235,326.5383036398143,BOR
1,329.4979024521212,336.86925006019044,BOR
2,331.3304107579221,334.58525525131023,BOR
3,197.12763619804696,188.2412091203335,PIA
4,136.5090565425883,135.73049149127854,PIA
5,270.5414950306878,264.63615120177917,PIA
6,302.2381946893444,305.51195351625256,BOR
7,313.84660493827164,320.74523311725125,BOR
8,276.6975214866389,275.20255726938336,PIA
9,152.09670057973233,146.18587835633906,PIA
10,229.99371494947843,224.61361852838533,PIA
11,233.30510131490738,226.1371882488253,PIA
12,213.62214822907936,201.2407413309907,PIA
13,272.302165051529,273.2717760865542,BOR
14,305.87395456701887,310.4811424947868,BOR
15,316.9605417066667,324.83741877493316,BOR
16,277.6882989397691,261.4354827856085,PIA
17,223.46749158770442,210.83902110775816,PIA
18,280.53444958758934,280.40274243238093,PIA
19,310.4568482847484,312.3950406559887,BOR
20,321.22678808126983,325.95835322920635,BOR
21,304.71676033830204,312.9839834466978,BOR
22,224.44964731118296,213.18039067397987,PIA
23,271.3212358011255,274.9348469331302,BOR
24,307.1659466024038,310.2600938296157,BOR
25,316.4,,PIA
