Minisector,VET,MAG,Fastest
0,257.9276683515969,256.0406686857982,VET
1,209.16843031146612,204.56508859408302,VET
2,224.6537047440734,225.00026941823677,MAG
3,264.25234673017945,261.5913223602083,VET
4,274.05459357886053,272.077852212801,VET
5,224.2869444523298,213.31229210115353,VET
6,96.14883534292294,94.35434376834422,VET
7,192.07514562716068,191.79776517089564,VET
8,283.2963365283513,277.5626802283616,VET
9,309.20256779327053,306.98997217169364,VET
10,318.8476818568483,319.764203077904,MAG
11,318.4551471619265,312.1145380809148,VET
12,106.44930951639718,102.39109888649377,VET
13,218.48098449509038,211.57049800845613,VET
14,280.6267052812078,277.21446229155544,VET
15,300.58665099871973,297.1773652310497,VET
16,242.75593653870965,201.69943780313616,VET
17,125.09496739771026,122.54115110607658,VET
18,152.74876403143608,154.37344853587788,MAG
19,257.12623357698163,257.1789185549862,MAG
20,155.82148814895788,149.37024880511615,VET
21,128.47579147079378,127.43714633272552,VET
22,207.3349270904174,206.17780984064402,VET
23,209.62152599788712,197.9129816158372,VET
24,169.94519340639656,163.56496917314453,VET
25,232.69583146666668,,VET
