Minisector,VER,LEC,Fastest
0,303.12003966137564,309.7921296,LEC
1,235.01940191281815,233.2756047690807,VER
2,134.04375647943027,130.9265816099562,VER
3,216.9146592884764,216.81713777336805,VER
4,262.5338187161828,264.98937551999995,LEC
5,286.4318777989418,297.3601814745833,LEC
6,300.63898906865967,318.31666800603796,LEC
7,273.52916826666666,287.6103052350877,LEC
8,177.1596165848332,177.94308008885727,LEC
9,242.38653051423915,237.80297233465993,VER
10,274.73399081704264,275.57478107268173,LEC
11,265.50246881035275,271.8603058526316,LEC
12,211.57788027553696,212.0238846028091,LEC
13,128.98396101232447,129.30451593390367,LEC
14,126.33026788952381,120.51482856380197,VER
15,168.0394560655537,158.80023059213957,VER
16,125.58959671760547,126.68287791374857,LEC
17,232.1775355362319,228.42157219635592,VER
18,191.39220068223787,185.93807260689655,VER
19,162.39848352323233,156.54863099563457,VER
20,247.52046249872416,244.1481611705628,VER
21,274.07870195048326,276.12926469529367,LEC
22,287.31798214736847,292.4828664766548,LEC
23,296.53564805079367,300.8120371555556,LEC
24,301.357903458201,305.0627035205052,LEC
