Minisector,ALO,BOT,Fastest
0,303.2877589555073,306.61128752592595,BOT
1,215.88595791227053,234.31219005507705,BOT
2,131.2421071079162,120.74817404087291,ALO
3,218.78494396919788,213.6416505221989,ALO
4,264.286870075739,260.7701439081237,ALO
5,288.69006099666666,285.6662618340741,ALO
6,295.6538807508497,295.17230408784314,ALO
7,257.71132075202064,266.2417646079501,BOT
8,171.53207560799308,163.51025353260863,ALO
9,240.38311140567924,238.33655686066777,ALO
10,268.0211468265793,267.54884471932775,ALO
11,259.6007849356725,250.03519470998685,ALO
12,206.2024606429807,198.83434555076923,ALO
13,124.43437185975549,119.7978916166416,ALO
14,125.02678993691562,124.90838297904864,ALO
15,160.50673848356797,142.1187099315374,ALO
16,123.17550473196324,130.81653302448595,BOT
17,226.50242732946532,228.8267376446142,BOT
18,173.0156545219614,157.2323068060284,ALO
19,162.7649513367119,169.26937524380952,BOT
20,244.47506570333334,245.33597455311894,BOT
21,271.8005329766261,270.2865412486773,ALO
22,293.4030633720635,286.80980049388467,ALO
23,312.34130318933336,296.48857908899663,ALO
24,323.27148432285713,302.54679491282053,ALO
25,327.0,,ALO
