Minisector,OCO,NOR,Fastest
0,273.66622530934745,274.91598373243573,NOR
1,291.9568096082822,294.9716666168889,NOR
2,288.64678577980953,290.76472569680635,NOR
3,186.70110558428684,178.9191936856812,OCO
4,125.89678585098184,122.57816341520731,OCO
5,237.41207771809522,239.36910918479836,NOR
6,279.44366695630026,279.8013791052242,NOR
7,286.5961540923077,285.3815707897436,OCO
8,180.68027803090297,177.76107623076686,OCO
9,144.749960338425,139.67589999597166,OCO
10,248.66666613333334,251.36048236432265,NOR
11,281.5494806954764,286.4784623736003,NOR
12,288.2841118769231,293.1203334115555,NOR
13,272.4458331259259,287.00833322666665,NOR
14,294.88268825396824,301.96353560375525,NOR
15,295.42983362438093,303.7452653506494,NOR
16,250.76611312446636,255.27008130427464,NOR
17,228.8664180144451,226.9907197520235,OCO
18,279.10226155885715,282.4703828258144,NOR
19,300.66149994666665,301.2972220444444,NOR
20,301.59383120592594,300.1288027558675,OCO
21,229.80572228325653,228.6766297501854,OCO
22,253.99088582160226,253.73643745679107,OCO
23,138.86004021762233,132.84752590775372,OCO
24,213.58416490323177,215.97004214442362,NOR
