Minisector,HAM,MSC,Fastest
0,271.6269712369231,271.79488722962964,MSC
1,291.62609790210126,291.7916885445614,MSC
2,292.7502548592208,289.7119448735773,HAM
3,186.51898529081998,174.75407791138073,HAM
4,117.41760316719322,116.38875102791971,HAM
5,232.8864838028681,233.27624604415985,MSC
6,274.55426044721503,278.82553489371526,MSC
7,288.45103203636364,289.01892851379887,MSC
8,183.69597121414967,174.2735422835471,HAM
9,141.52422401275538,139.7265184952007,HAM
10,242.88691136727047,245.90379766830313,MSC
11,283.57881892392555,283.0615505872132,HAM
12,298.50285305797826,287.38445109682664,HAM
13,276.53851901561904,273.45299840873173,HAM
14,292.7572974825488,291.7816892449282,HAM
15,300.55922077922077,287.3262481999196,HAM
16,253.68636109859364,239.455073669418,HAM
17,227.4041919547475,221.4176318449154,HAM
18,273.53255688205866,273.23411810751674,HAM
19,294.754920995671,295.2870652639007,MSC
20,301.4003864052486,297.99909384,HAM
21,235.0431362389183,229.17193654098426,HAM
22,258.98565994937076,252.2709363344254,HAM
23,140.7905874071726,132.2410308594465,HAM
24,208.55829137912244,213.10979540984624,MSC
25,251.22142902857144,,HAM
