Minisector,SAI,TSU,Fastest
0,268.6526947984762,265.66124965333336,SAI
1,290.82692717619045,286.0154135627052,SAI
2,295.5599577877458,287.92655344858554,SAI
3,128.91130173422678,121.18403887212425,SAI
4,194.74627166344683,183.13300750567618,SAI
5,250.5345848362812,249.48111284506714,SAI
6,134.2084094066588,134.70089343027882,TSU
7,206.75926129987886,194.3089794662825,SAI
8,262.28294289457,252.54089131154743,SAI
9,281.50759261037035,276.31556051649125,SAI
10,231.8069170920635,227.05152072526533,SAI
11,175.0393727441002,175.4306510895922,TSU
12,195.16263228407684,180.64394406616418,SAI
13,149.60033849884735,141.8230380041762,SAI
14,172.1422978238981,168.43715092519435,SAI
15,159.35624592491163,156.93491362268833,SAI
16,222.39364199385884,211.30448040347684,SAI
17,235.07832191673472,229.43954054061916,SAI
18,239.05995588045022,230.48188295508487,SAI
19,241.04196596144754,236.85493857701917,SAI
20,147.37877425348614,140.4507774276193,SAI
21,128.3450478830307,134.23589160000597,TSU
22,169.1403960115671,162.00545531273323,SAI
23,150.23279605051454,142.9350709120967,SAI
24,226.8672013380899,219.1571533085412,SAI
25,,251.05219070707156,TSU
