Minisector,PIA,RIC,Fastest
0,289.38222248296296,285.1137153154638,PIA
1,296.52481834713444,293.8371326117647,PIA
2,167.51651496320832,159.5436183288548,PIA
3,221.87008159815628,215.4969349983976,PIA
4,270.53243821883194,269.6846464646465,PIA
5,292.8957123413333,294.25464517727386,RIC
6,297.5039356444444,302.48362661925927,RIC
7,174.9564614908121,173.9666740892659,PIA
8,124.4025971723034,104.96796077661742,PIA
9,250.1613565511111,247.34411187916908,PIA
10,288.68512991525733,285.4227664197531,PIA
11,300.6843866495548,298.28828571428573,PIA
12,146.20685438203333,147.49655493930425,RIC
13,193.0973128752171,177.83985665580056,PIA
14,254.26812698324883,253.49688898165417,PIA
15,200.57119039459573,197.80849661754388,PIA
16,216.9397613277091,206.05195416540212,PIA
17,214.95714614760686,196.40791932307692,PIA
18,243.70749363580953,228.8634086690909,PIA
19,279.10839557078054,271.6130830648889,PIA
20,296.3451781746939,292.41466931216934,PIA
21,264.41037382858417,247.29313617608466,PIA
22,226.34527375447993,213.61083810920636,PIA
23,203.92102048979592,201.01884537542944,PIA
24,263.2673698976312,258.4000310920635,PIA
25,,277.88500096,RIC
