Minisector,NOR,VET,Fastest
0,263.01740203921565,261.01911767843137,NOR
1,139.32890852891057,132.28531639693148,NOR
2,197.9115950730159,191.64877778932862,NOR
3,248.93120134754506,244.0456582633053,NOR
4,261.76953166666664,258.6946069960784,NOR
5,187.4430589482669,177.0603427875224,NOR
6,149.80770146095463,144.58758503401359,NOR
7,184.81457387977335,180.52391339594203,NOR
8,103.6238545634812,102.39047634657376,NOR
9,78.20771525298507,78.13554437192941,NOR
10,93.88781188040417,93.73162424395645,NOR
11,172.67106489772257,177.08451546969638,VET
12,245.45915975394917,243.2010274180858,NOR
13,271.46086790404695,268.3377777777778,NOR
14,279.7611117511111,280.07444444444445,VET
15,120.96659408073516,118.66885918040336,NOR
16,132.49909070015838,142.05123163743843,VET
17,195.93198737430635,192.19847226091122,NOR
18,202.3949076661778,198.95916666666668,NOR
19,225.22238893544974,210.91568245646994,NOR
20,137.50337757006818,133.57455092337568,NOR
21,119.83637872761904,113.33668187060489,NOR
22,89.98765470949458,95.64712302222222,VET
23,196.269110641215,197.92663846249724,VET
24,252.28480451764705,248.79534318431374,NOR
25,262.2416661333333,,NOR
