Minisector,GAS,MAG,Fastest
0,290.2564982412954,292.38270393564335,MAG
1,300.5311358138349,301.8495505676191,MAG
2,295.48003282337,303.9126334667342,MAG
3,190.2243417346263,189.37337990231532,GAS
4,209.33516506024026,206.41183046875614,GAS
5,203.07252321966226,202.45614101482153,GAS
6,263.61587202255646,263.93540349213487,MAG
7,258.53737653024154,253.82441685435117,GAS
8,211.26129785363287,205.2304541926811,GAS
9,211.65673651296456,190.1452103231183,GAS
10,144.63500823968468,148.0131788844218,MAG
11,205.21696743833107,187.74426852448013,GAS
12,187.32084694326716,192.52752404735617,MAG
13,253.07187452623322,255.39906145365535,MAG
14,181.45930433786535,179.5176499529112,GAS
15,231.39620934714557,237.95735786444854,MAG
16,279.4720244792381,281.670267928658,MAG
17,285.41227277035347,289.9578593546756,MAG
18,275.8838807768819,277.25745303272726,MAG
19,265.46117455085715,262.04972403571765,GAS
20,259.57806099255413,260.20672036048086,MAG
21,260.27808040550264,257.45636344752296,GAS
22,234.29392021117985,224.34319994896126,GAS
23,207.79136376377093,207.06494799494286,GAS
24,267.8958971388904,269.87995844577074,MAG
