Minisector,RUS,TSU,Fastest
0,287.6989599613518,286.6149453078261,RUS
1,299.2642946285443,296.14850515547334,RUS
2,303.384603290236,301.58594910419754,RUS
3,303.9527479525926,302.6419966632738,RUS
4,189.05411425734786,186.40519988834055,RUS
5,215.66896057791035,213.07311622913582,RUS
6,264.8325249942857,262.671190156991,RUS
7,256.21837500337386,265.0908482230504,TSU
8,180.66879398170488,186.0225839387496,TSU
9,150.44807664354337,156.003700049285,TSU
10,180.75570968561593,177.7245412905681,RUS
11,255.42707244071738,254.86792259972609,RUS
12,248.55605722691317,248.11058509628117,RUS
13,225.6845149348148,225.59214486165655,RUS
14,266.04995335434523,262.16738507843036,RUS
15,164.56142657596962,176.19895548,TSU
16,210.66558804020806,210.091636744903,RUS
17,233.8825087930736,244.7119973132275,TSU
18,127.95860458528138,131.96968400317292,TSU
19,237.92618665928853,228.4991933388818,RUS
20,274.6626460744589,273.0633089636806,RUS
21,244.9227375648819,266.99435701587305,TSU
22,137.3187676892073,138.17169436917516,TSU
23,206.47733156017281,202.548561371009,RUS
24,267.439128277655,262.9506909707029,RUS
25,,279.89166577777775,TSU
