Minisector,VER,LEC,Fastest
0,301.86485672619045,309.0809720888889,LEC
1,203.68587468268052,168.7147479707208,VER
2,145.26661424664024,145.29107097035993,LEC
3,218.92640176895966,223.926506358346,LEC
4,159.2241354084131,163.300764920834,LEC
5,169.88545945400887,185.2957821497579,LEC
6,248.32291259746134,255.0260668803669,LEC
7,274.5240719611578,280.9062052113815,LEC
8,282.838051119978,288.5651313131313,LEC
9,247.9310658420168,259.98495220184736,LEC
10,239.37315531466223,242.97275479264482,LEC
11,227.0918782256854,240.49111475678916,LEC
12,202.33964870451265,190.2063364686786,VER
13,134.1391453158645,127.86467125131838,VER
14,137.01809818584647,129.24065800841316,VER
15,179.9981158142119,178.57065932331656,VER
16,244.8184874311111,248.1039090909091,LEC
17,238.72222618412698,224.7384443097554,VER
18,118.01057768635366,113.52125285835989,VER
19,195.49586910075763,208.69189325580555,LEC
20,195.914558875916,203.04867805424635,LEC
21,234.0852595128553,244.37847411447862,LEC
22,261.76918944679005,270.66927262127666,LEC
23,281.3177949991342,289.9670984119515,LEC
24,295.0397960043862,301.71027060898,LEC
