Minisector,LEC,NOR,Fastest
0,307.6392123146667,307.0153679965201,LEC
1,316.90594258285716,318.9031250755555,NOR
2,303.3071726242226,306.96649850752266,NOR
3,181.95886505489503,181.3235565533646,LEC
4,217.93992359009525,218.2508060363396,NOR
5,199.47740152900366,197.53294500400656,LEC
6,182.2984135526816,182.46793161899726,NOR
7,199.4610751687542,201.024045251772,NOR
8,253.7989551884146,250.34894218239998,LEC
9,260.6596022044444,247.16107017867543,LEC
10,177.72626151798409,174.08909890758892,LEC
11,230.27694995063453,234.0286892037106,NOR
12,124.37582062862599,124.43908594506014,NOR
13,240.40527657235396,241.38590601473445,NOR
14,281.0375295639979,272.7758115255411,LEC
15,276.3986310215963,269.3825501214815,LEC
16,210.3025524514139,204.40478338094354,LEC
17,198.04163524777778,197.0128632779197,LEC
18,288.8936398217197,291.8166829394791,NOR
19,319.08102714612227,317.18319445333333,LEC
20,322.5955002453333,312.4711115022222,LEC
21,302.28658953815784,291.87020237737374,LEC
22,281.2209515784242,248.9922537809055,LEC
23,123.08452240487091,124.56502951845525,NOR
24,248.40994210044713,255.23162934387014,NOR
