Minisector,VER,HAM,Fastest
0,259.39958836205545,258.8193100741501,VER
1,134.52099896189628,133.9223883190857,VER
2,200.19395588871575,202.61908425023344,HAM
3,246.02512751496997,248.66071684832136,HAM
4,259.736317767033,259.7309927292517,VER
5,190.00827792280703,179.23343691809524,VER
6,154.49279685741212,147.0212017652355,VER
7,186.8268386147186,188.87061458626263,HAM
8,105.73885766838427,100.5283169209516,VER
9,74.64801060686439,74.30707493222403,VER
10,98.01278466878898,98.43657138261497,HAM
11,183.93744093000754,189.72326691887056,HAM
12,241.3054778951474,251.06795807392606,HAM
13,256.5266749212314,272.21246072250966,HAM
14,267.6604163733333,282.5247746361905,HAM
15,116.06112755810288,115.11712547213189,VER
16,144.40168874624504,152.86490896315462,HAM
17,191.21562313757727,187.63834508030075,VER
18,203.62960703152666,206.62270012526548,HAM
19,216.35024448358544,215.96537556856708,VER
20,137.23649850929394,135.65045260835166,VER
21,115.83193796825397,112.2814204121817,VER
22,97.80530618017454,103.08399725353338,HAM
23,200.562920255014,200.9931550300993,HAM
24,250.16352301048067,252.5950294584874,HAM
