Minisector,PER,OCO,Fastest
0,251.89411714504357,248.59362970369318,PER
1,124.4118391155204,126.35578104835932,OCO
2,259.7868469361743,260.135996084255,OCO
3,303.85295083210883,302.7188073695073,PER
4,305.4982589734666,304.06255680783215,PER
5,314.62854438381396,312.555811797551,PER
6,318.59262820512816,315.9376663812987,PER
7,320.5726062369785,310.74835656634923,PER
8,184.73277763160198,190.82920310355718,OCO
9,184.49343453437498,184.1561840383431,PER
10,181.02577617580602,179.80831707666613,PER
11,172.98906091781387,168.36087324996683,PER
12,244.15984594068584,244.51201365645824,OCO
13,270.21230568384874,269.19805102881884,PER
14,274.36791051278436,273.1466491661662,PER
15,274.21962962962965,265.9093179881275,PER
16,171.9980295924463,169.12553044130254,PER
17,180.963795956139,175.19719830402778,PER
18,230.4535456484127,229.53914824741855,PER
19,281.63432876705815,277.9790274452279,PER
20,303.56038957126043,300.9384385382953,PER
21,309.62558107051865,309.09540116707734,PER
22,308.7344357430857,305.1845881081023,PER
23,241.1636957125336,245.26625598809977,OCO
24,109.48072554765261,114.3602708036493,OCO
25,223.8250048,,PER
