Minisector,LEC,MAG,Fastest
0,288.80079210574314,284.5655363773465,LEC
1,295.7511004025895,292.09720288,LEC
2,164.69012849662337,157.04172385550083,LEC
3,220.61453721125346,219.66217645072683,LEC
4,272.66165118239894,268.52892145080006,LEC
5,294.15437064400487,288.8859049698178,LEC
6,300.16873026750585,294.9368444708571,LEC
7,176.12526755714026,179.55292356829614,MAG
8,125.73377217442246,122.18294994023049,LEC
9,248.30130327953214,241.86379423216772,LEC
10,284.5406984,281.2540841657143,LEC
11,296.64225015945567,289.6524709301961,LEC
12,150.49974845454207,146.44711026705667,LEC
13,197.40744974585215,187.34170235511735,LEC
14,256.8330511280423,252.45327572948423,LEC
15,202.8442568772136,202.96906953064934,MAG
16,225.38710218182916,209.4906391128161,LEC
17,220.3537469109226,206.73999384623437,LEC
18,248.27340566336616,240.88733811478687,LEC
19,280.3093045688889,270.80511719505193,LEC
20,296.82042132374704,289.9514176134454,LEC
21,270.12086906236766,263.53246249499324,LEC
22,231.97823689650795,223.1255775192567,LEC
23,208.28080918511506,189.67569843474124,LEC
24,265.23850468350787,255.17759412629346,LEC
25,,274.76999936,MAG
