Minisector,RAI,MAG,Fastest
0,276.1204650605557,271.01669932308187,RAI
1,293.7905680753584,288.9573803553713,RAI
2,301.6098207560679,294.17343773333334,RAI
3,130.7866083078298,133.74195669218184,MAG
4,194.46322437613614,193.89512988742382,RAI
5,261.1275580105663,256.82495869374645,RAI
6,142.22402730824345,144.2407249201559,MAG
7,203.70230925831143,199.99707194494493,RAI
8,263.38291268697174,256.98561455901415,RAI
9,284.8518231333333,280.456117585045,RAI
10,236.56821911569492,239.97602913162058,MAG
11,188.85383665808905,186.21110591484208,RAI
12,190.19947618599798,183.98835360414847,RAI
13,148.13867114297736,147.78503859432112,RAI
14,172.92635278380507,171.4374729393868,RAI
15,159.67312192112718,155.1774421859133,RAI
16,209.7768124360351,211.4095460220735,MAG
17,237.93504876109463,241.2870563393657,MAG
18,239.8059039921711,234.17287665093346,RAI
19,256.9129724991625,250.95920095403844,RAI
20,142.2492002114188,141.3034925238683,RAI
21,138.15756358713358,140.1265979335674,MAG
22,166.7348256902939,160.7761048673874,RAI
23,151.08685182581635,147.54721633601056,RAI
24,231.47848675285007,224.6047651791339,RAI
25,,255.93333333333334,MAG
