Minisector,RUS,SAI,Fastest
0,296.4725212482951,298.76151966535946,SAI
1,236.85590155767193,231.61889179963242,RUS
2,135.12382603096057,133.6586246941799,RUS
3,216.22618672620078,218.20609127111112,SAI
4,259.17110397327355,260.4172662716792,SAI
5,283.4104980711111,285.7643292793651,SAI
6,293.1325000147301,298.48905187321515,SAI
7,270.9332217697371,274.47187038419753,SAI
8,173.7376395986134,169.92221360693236,RUS
9,234.7334543130326,238.89091544177776,SAI
10,265.90986135111115,270.9900145954294,SAI
11,257.62443995597886,262.0746925108846,SAI
12,209.00121010250072,206.10419898461072,RUS
13,129.40210085506143,117.21118955422574,RUS
14,123.24537219919824,125.14748902532392,SAI
15,159.4290864807895,151.08714659427937,RUS
16,121.46489811782067,127.22316070872348,SAI
17,231.86386151762576,235.4837042668685,SAI
18,176.55280945218533,167.93240267681614,RUS
19,163.14512389468564,165.15331793493527,SAI
20,244.63542271435622,243.32072793862437,RUS
21,269.94262298939725,270.82825754385965,SAI
22,283.42169328507936,289.2946169654554,SAI
23,291.8290692886003,298.4664760929524,SAI
24,295.72209574331026,303.83835964444444,SAI
