Minisector,NOR,ALO,Fastest
0,258.66616437864906,251.86989586666667,NOR
1,131.5597641637816,130.7751080082032,NOR
2,202.031664431746,195.91033223426672,NOR
3,243.9389833966979,241.86728507844157,NOR
4,255.16650258479297,250.26217813333335,NOR
5,182.91536705333334,174.3078043007781,NOR
6,146.00920565077828,146.10403215472527,ALO
7,183.01662333621934,184.53891323996567,ALO
8,101.92619804632807,99.06596476513708,NOR
9,74.73630437043174,75.6299468905977,ALO
10,97.21558648728413,93.2549828480865,NOR
11,180.726836608,180.64630009197467,NOR
12,241.06064448358543,240.21648462666667,NOR
13,265.39675201088437,262.3539408511027,NOR
14,274.8107693128205,268.45751388571426,NOR
15,127.52770623456611,108.66925429435207,NOR
16,152.12192411681423,154.0316884517093,ALO
17,191.3637194180433,186.72097864150072,NOR
18,196.94912531049627,200.2354829849818,ALO
19,217.22645221736695,208.1843350970019,NOR
20,137.59768679558172,137.86156108575275,ALO
21,114.9471629997279,108.06601239497535,NOR
22,98.10449279122727,99.96659748585904,ALO
23,197.0244063774843,202.70889937088847,ALO
24,250.4335384387842,244.77402064571103,NOR
25,,259.74722346666664,ALO
