Minisector,BEA,TSU,Fastest
0,303.4945262192714,305.99691068552187,TSU
1,201.88619088350126,207.17595158260872,TSU
2,146.433942594557,142.546815382986,BEA
3,220.55092688675052,214.6160006643194,BEA
4,160.4486559077692,164.25910324805366,TSU
5,186.95962368877392,178.93969410036942,BEA
6,257.38351853981777,255.43047956970318,BEA
7,280.80941554823534,281.4779966270166,TSU
8,287.1376301733333,288.9985416087273,TSU
9,265.278582506567,262.66185291851855,BEA
10,253.2075064051948,246.62075856,BEA
11,242.18756432847618,235.6903989392147,BEA
12,204.34243547977897,195.27620578222985,BEA
13,130.56948925123442,126.05672412230577,BEA
14,135.90102026835694,137.70545061007354,TSU
15,184.8733384209028,176.11283158484687,BEA
16,256.8750726417927,250.69606253268466,BEA
17,232.5674211149228,241.2086132505397,TSU
18,110.70090757863075,109.91091068432057,BEA
19,198.69643667046165,198.0598069311006,BEA
20,203.29007066419706,202.3942557058385,BEA
21,239.74731211208598,239.99691163014552,TSU
22,271.195637124183,267.8619752122298,BEA
23,289.92298582044447,287.7762790868071,BEA
24,301.746253583301,300.1124422526698,BEA
