Minisector,LEC,LAW,Fastest
0,300.4947222044445,295.7699415047873,LEC
1,152.55851679253968,148.0673919912557,LEC
2,210.97986267990382,215.66682981251478,LAW
3,286.1302578944219,288.09548685920157,LAW
4,311.78088507809525,314.17998846003655,LAW
5,312.0963042074074,312.99777271725253,LAW
6,175.19353662581608,168.56938794164398,LEC
7,119.41925688104412,125.65282159907699,LAW
8,253.74668032902997,253.15233362050358,LEC
9,289.32798973490196,296.18546870349377,LAW
10,289.47141331877316,295.63348187759954,LAW
11,136.7309584870356,129.1934761377223,LEC
12,175.7506535572534,179.4088622906964,LAW
13,242.56870424085008,250.3329030927636,LAW
14,186.90828870854065,179.03561009926233,LEC
15,197.03839394377144,201.05359647324136,LAW
16,199.4950343279121,190.71862530144102,LEC
17,236.48490406704764,232.85020872761908,LEC
18,279.38321261985186,278.96698819181285,LEC
19,289.6323093346878,294.29411764705884,LAW
20,243.4862271372006,237.57255238349205,LEC
21,206.10423596088887,193.70401193296996,LEC
22,189.39261869435484,184.1746825888081,LEC
23,269.7288349121693,266.47975755979564,LEC
24,301.04947732517246,299.5534723259259,LEC
