Minisector,LEC,HAD,Fastest
0,310.7143501654658,310.1523725850882,LEC
1,248.21199267900954,222.8023448363285,LEC
2,135.02347606176048,128.14347456292032,LEC
3,242.68801216678858,231.9995287330798,LEC
4,190.74874493242908,182.7872084907491,LEC
5,255.2014049043117,240.4582278352928,LEC
6,238.64370680412918,221.0844209081664,LEC
7,252.79901778607407,257.4749620893424,HAD
8,292.6334884647619,293.72908051395166,HAD
9,205.6649025423043,198.41838355272728,LEC
10,199.07276312400626,205.33491052952988,HAD
11,277.3375324491228,276.2156757396825,LEC
12,213.54030233357696,212.67444447833176,LEC
13,243.89049728764883,246.52946279517906,HAD
14,293.0176662913179,294.7592067486566,HAD
15,310.15740726857143,317.5828373726338,HAD
16,312.99261628652255,317.28947317572363,HAD
17,210.29661879542857,200.1594821859808,LEC
18,261.06408881803776,259.9970308518874,LEC
19,298.22967223026455,300.0512803190303,HAD
20,313.6177897112419,317.07126578085,HAD
21,316.1183959118367,321.03629165066667,HAD
22,146.0466591834001,147.5860727116765,HAD
23,228.24960557606485,233.72992668724748,HAD
24,289.22032166577776,295.2888751,HAD
