Minisector,RIC,SAI,Fastest
0,275.4492542125004,276.9403792970472,SAI
1,296.0349047649524,300.31076386666666,SAI
2,290.59625394711196,295.89553530828715,SAI
3,175.91100591498258,175.81112954240427,RIC
4,115.85398477796868,113.84807860394929,RIC
5,236.49045646451611,234.31559084731182,RIC
6,279.6546471794872,289.08683296426665,SAI
7,284.69583372307693,301.2431671466667,SAI
8,177.39938421165832,175.06014397483025,RIC
9,140.13882409646754,138.8310243982274,RIC
10,250.7514363218391,249.73045936551725,RIC
11,288.1347586506899,290.5079259707593,SAI
12,296.46789117584933,303.36922148571426,SAI
13,285.03297621333337,281.80599642186945,RIC
14,295.15711429406144,301.4184887559974,SAI
15,291.8878573714286,299.8154766019048,SAI
16,253.2199326672495,239.97039283506098,RIC
17,226.03111933333332,222.86931762424243,RIC
18,274.5951073082995,282.53354099451616,SAI
19,294.51924590476193,309.3229811875776,SAI
20,301.56927079999997,312.65172074314955,SAI
21,232.4732404379936,222.79781758614718,RIC
22,254.1777492414509,256.480194392788,SAI
23,135.5650887319716,129.09342675095365,RIC
24,213.02029715209065,216.31841557056276,SAI
