Minisector,VET,VAN,Fastest
0,285.3598010659739,277.70677864973544,VET
1,311.86628182939637,307.99424564096444,VET
2,325.1535718095238,329.31043943150183,VAN
3,332.7794646857143,343.1065473523809,VAN
4,337.07559535238096,344.5651785142857,VAN
5,338.00595238095235,342.72628299487184,VAN
6,206.37139636363636,186.03883485866666,VET
7,106.1849518918821,105.68734070504837,VET
8,196.23198287418947,192.60930005079365,VET
9,271.1852000711111,266.153282296781,VET
10,301.45342350476193,297.5877777777778,VET
11,174.1396712064397,156.76465547586207,VET
12,97.04070373307103,96.46409643863552,VET
13,120.61235951707624,120.03178069376571,VET
14,227.62676941041522,216.61598943722944,VET
15,189.71845712171648,181.71613442762194,VET
16,222.56540879576718,210.18787805367964,VET
17,180.5526877885342,172.49776258648197,VET
18,240.6202380952381,240.90011017543858,VAN
19,287.2225564773727,277.92556114784736,VET
20,254.21338974131788,225.3747853364874,VET
21,147.75874788757199,136.1276623450408,VET
22,98.07213043848886,97.21895884445455,VET
23,125.12921684897958,123.86663381131721,VET
24,237.88730173968253,229.13166650666668,VET
