Minisector,HAM,TSU,Fastest
0,303.869166264254,295.2670384952381,HAM
1,162.7591296523126,168.3475586588558,TSU
2,174.68399874504814,181.77508179098314,TSU
3,255.62395529535857,255.8535857932919,TSU
4,284.59093428147406,286.18904177132106,TSU
5,255.51260528285454,259.02640602317257,TSU
6,224.25293326358386,232.50161218486662,TSU
7,152.76727777417764,149.80009920870907,HAM
8,222.81180362994644,224.09374278658603,TSU
9,280.34155387273984,280.15155615059416,HAM
10,304.4893125359443,300.9138852073213,HAM
11,321.3732288258207,311.78557761134795,HAM
12,332.8518827512424,315.6936173265163,HAM
13,331.8232537760401,315.9466515009524,HAM
14,128.22279366485884,126.06692348225182,HAM
15,114.85239200829709,119.63144099628634,TSU
16,103.39333825578203,103.5368517426181,TSU
17,235.8195728248004,231.7611423494211,HAM
18,285.01291144075356,281.8784741673357,HAM
19,311.5697050693972,301.9036486165785,HAM
20,327.8043200414815,311.80529697692214,HAM
21,331.725314907442,312.293142,HAM
22,127.14247404991598,108.98605727530742,HAM
23,206.08629225685823,213.3289848611183,TSU
24,273.2115108646421,274.33437639950307,TSU
