Minisector,BOT,STR,Fastest
0,290.27222186666665,306.99765383822313,STR
1,296.63405801739134,323.4341270857143,STR
2,292.334680089441,290.8057979494824,BOT
3,122.30403811310345,110.05721310657005,BOT
4,225.22978590081556,223.1573588141892,BOT
5,276.26557461587305,272.6856664746667,BOT
6,223.35338606714765,211.132242742357,BOT
7,166.89682412307693,162.30546066616262,BOT
8,220.6722907997671,205.99496262494065,BOT
9,232.72044388045978,220.24363580183228,BOT
10,123.84969755904483,119.52701887526467,BOT
11,232.5036560741451,226.58335984899148,BOT
12,127.51103786991582,123.03703470118174,BOT
13,230.71962073957306,226.4336109511111,BOT
14,280.2339224990637,275.63310705871606,BOT
15,228.0817233204301,206.90974426213106,BOT
16,199.43344037183795,194.52321852344016,BOT
17,258.03205078974355,246.42127083185727,BOT
18,220.73861153447794,195.44411270334191,BOT
19,180.97837676396398,187.2512179863202,STR
20,264.1849981642144,264.5359484557392,STR
21,284.9381944,279.4380456761905,BOT
22,183.12157793198136,173.33501225683946,BOT
23,218.974729427957,218.37089618613513,BOT
24,270.79410258319297,268.28099773056937,BOT
