Minisector,RIC,BOT,Fastest
0,310.9730911078402,291.12604137777777,RIC
1,327.33684557714287,300.57865592961303,RIC
2,289.995809052105,274.011501824,RIC
3,110.66917481858022,117.57820910991707,BOT
4,230.7286960551724,233.1900480988965,BOT
5,287.2233594702762,272.82502346361906,RIC
6,226.94488925591398,204.5639742803935,RIC
7,172.91064572991925,179.15329717037037,BOT
8,214.5490093966029,213.2806977486748,RIC
9,226.175062181564,227.097500365977,BOT
10,120.63839111845219,120.24909960976957,RIC
11,233.52106864890217,229.869350094331,RIC
12,123.74912451121564,121.08045819013932,RIC
13,226.99170079064075,231.98166538666666,BOT
14,273.6720005546667,272.38711662453863,RIC
15,217.47412059301655,214.98643384666667,RIC
16,201.85286550680698,207.2349824401985,BOT
17,252.62061281410934,252.21762802051282,RIC
18,199.61812954590454,196.73702485333334,RIC
19,190.12192076523294,194.70024470588237,BOT
20,264.05740824733164,264.9826424746667,BOT
21,288.585253787131,284.15729173333335,RIC
22,168.00532612901998,161.760881315257,RIC
23,220.8055434592396,227.9284344586048,BOT
24,274.090188389375,275.79191445714287,BOT
25,285.64999893333334,,RIC
