Minisector,VET,STR,Fastest
0,261.01911767843137,262.45260156681246,STR
1,132.28531639693148,137.59046866492946,STR
2,191.64877778932862,198.00099347301585,STR
3,244.0456582633053,246.6927659359162,STR
4,259.88645833333334,258.73437466666667,VET
5,179.66720290470894,185.11558248311687,STR
6,144.789594356261,146.85506348145623,STR
7,179.13550759884058,180.40652377971014,STR
8,103.07502919210222,101.83426920344604,VET
9,79.25912927758979,77.72179958962964,VET
10,93.49795096568472,94.13981107737372,STR
11,177.08451546969638,181.7460658517169,STR
12,243.2010274180858,248.75416753333334,STR
13,268.3377777777778,270.8140340602262,STR
14,280.07444444444445,278.9124978488889,VET
15,121.55565113356926,119.17582574542956,VET
16,134.82619058285715,143.96184596394326,STR
17,194.43656749900646,195.6999997968254,STR
18,197.29444444444445,204.5365144441255,STR
19,213.5428236383894,220.27242269149332,STR
20,133.2057337190746,131.430730219291,VET
21,121.26589889840339,115.32141283277446,VET
22,91.39787026962964,92.72058550482426,STR
23,193.8833847228147,198.97500186666667,STR
24,247.171568627451,251.48416052486775,STR
25,259.6375008,,VET
