Minisector,STR,RIC,Fastest
0,307.4835648592593,295.20354176,STR
1,301.0974217931537,293.9333528819411,STR
2,153.07500013714287,158.76558393940746,RIC
3,233.48786302608696,230.38242828985506,STR
4,290.2261904761905,283.83734335839597,STR
5,316.6211485938375,309.3495798588235,STR
6,327.1320312666667,315.4269956929972,STR
7,148.42579880902255,166.0013725490196,RIC
8,136.12256710078626,135.9154457392802,STR
9,255.1898810920635,249.80674603174603,STR
10,295.08515243174605,281.68327099348375,STR
11,303.04511154297717,286.41203703703707,STR
12,138.1816731220899,151.69108813333332,RIC
13,206.63862123724942,201.489215062756,STR
14,265.2308335466667,257.8727890140589,STR
15,202.12725859767053,203.6330471552402,RIC
16,223.96857653333333,227.84420289855075,RIC
17,216.7427468154748,219.67466641066665,RIC
18,249.2031746031746,248.79434194223185,STR
19,279.2313599438596,275.05614051929825,STR
20,293.9017544421053,287.75443673420483,STR
21,259.8674602666667,258.92154810947187,STR
22,216.44683306666667,226.2442702666667,RIC
23,211.76047638771067,209.0557581197327,STR
24,275.11145882666665,263.30604186666665,STR
25,,283.22500053333334,RIC
