Minisector,NOR,PER,Fastest
0,297.4625464368886,298.2389932387662,PER
1,316.8531128747795,316.278074074074,NOR
2,325.4703776333333,322.28121218327277,NOR
3,311.62314285714285,312.12359282269404,PER
4,170.22461084643479,168.68767434404506,NOR
5,206.43161630036633,203.5304548327162,NOR
6,232.3672875202552,234.63721853218445,PER
7,266.4770733662888,266.2379682188894,NOR
8,247.58835978835975,251.14698760082817,PER
9,162.75756687426062,158.7899816862745,NOR
10,222.13330898992407,220.22897236791388,NOR
11,126.81562304393911,131.720972018101,PER
12,228.7815855477809,224.71458347936507,NOR
13,177.4415008332787,180.45462141922744,PER
14,216.41140668666665,212.43545265371426,NOR
15,241.20802182121523,232.63430954324363,NOR
16,264.0077161323457,257.2014700411318,NOR
17,283.6773851229893,280.91049572583916,NOR
18,155.46768970124083,157.27331053920537,PER
19,160.24322817792626,164.91255271954674,PER
20,142.61392596996134,142.3187495313828,NOR
21,229.91800615238094,220.77361932312382,NOR
22,262.6533062817391,248.20227797231746,NOR
23,252.9437415288787,240.043552648274,NOR
24,274.6359188644156,266.88339751736027,NOR
25,283.6477277090909,279.26875040000004,NOR
