Minisector,RUS,PIA,Fastest
0,252.93487339094725,254.9619102590476,PIA
1,212.15093334739927,211.32253124380296,RUS
2,205.63738735912833,209.7075725143295,PIA
3,260.4435881762963,259.24310180668203,RUS
4,277.0818237705544,274.8113347731997,RUS
5,293.5728563603689,288.16452753703703,RUS
6,144.69067538705139,153.07592049715316,PIA
7,184.83202445409813,188.22732342055932,PIA
8,269.9447674404431,270.6526650494766,PIA
9,296.3207416222671,299.32490163855806,PIA
10,309.79682553416933,309.10532721804714,RUS
11,307.14174030239604,303.8972330967619,RUS
12,103.79950480073958,107.84692824270033,PIA
13,205.15852257568918,203.40325659792865,RUS
14,273.16703636012835,271.9392439255576,RUS
15,296.0422190178685,295.95523810370366,RUS
16,293.8231641005614,290.5499218285714,RUS
17,181.2574252994163,181.85924446166666,PIA
18,223.84374476894757,229.73310286065936,PIA
19,271.27336959789193,271.4032918559006,PIA
20,137.14374772474122,143.81008480444444,PIA
21,146.5597546466359,149.87898478893425,PIA
22,230.25650420121212,235.45850203057617,PIA
23,247.49690595258886,210.28220772278388,RUS
24,168.10630866965175,161.67309156526153,RUS
25,228.62857325714288,,RUS
