Minisector,ANT,SAI,Fastest
0,285.42989293252526,277.11388893121693,ANT
1,292.72037033086417,285.66345061052635,ANT
2,244.97873723980186,221.2950541468132,ANT
3,122.99466022552889,110.5489125083015,ANT
4,127.62331136595566,134.5782177823547,SAI
5,252.04480089216932,259.2633159928723,SAI
6,268.7164326189899,242.46509959232574,ANT
7,126.39144341642158,126.97512438402411,SAI
8,250.3817781516883,247.38058028761904,ANT
9,256.4795269953674,244.37562130716265,ANT
10,214.6340009756499,196.04334650202517,ANT
11,151.7047285736341,136.17058095586057,ANT
12,194.26945464224664,207.2759596306158,SAI
13,255.6774873568007,253.37315909089523,ANT
14,124.1788180416055,109.13640828209968,ANT
15,180.7658730414781,186.52602182623275,SAI
16,261.13108808347823,262.2409227710024,SAI
17,309.59850519293445,312.75237072284006,SAI
18,319.8139353952153,334.7543832205755,SAI
19,313.5972782667862,334.59119029960783,SAI
20,307.87177228590826,325.5792732717949,SAI
21,218.5970792347386,198.46384544333432,ANT
22,134.97387323942888,126.53190449124857,ANT
23,191.01165446619072,180.59382110773743,ANT
24,236.07383971878494,222.98010696853754,ANT
25,275.26000128,258.0,ANT
