Minisector,LEC,RIC,Fastest
0,273.63360506896333,273.6000373688889,LEC
1,299.35026004086575,298.2659493252873,LEC
2,313.10221886058366,310.7257222682786,LEC
3,322.0975001884444,318.65524168694674,LEC
4,325.54702395646257,323.4726191537415,LEC
5,324.4665909697048,325.76244805333334,RIC
6,184.09583805938595,198.6479463061771,RIC
7,103.80161417814442,102.68666083712601,LEC
8,181.24917674026668,187.53027784682033,RIC
9,258.9766765792579,263.53972019292945,RIC
10,288.9026840407843,291.06604431939394,RIC
11,174.2477313006073,162.57540666320472,LEC
12,91.22739408333771,93.60758677319343,RIC
13,108.07080299831772,115.36747173190398,RIC
14,214.13773901588092,216.7554008927222,RIC
15,178.91205101136288,187.92355277493238,RIC
16,218.50290520618094,219.31641094327574,RIC
17,175.42094107133642,172.1492400636802,LEC
18,234.39678801283026,231.03102048517948,LEC
19,275.4440362066007,276.92845564,RIC
20,249.92297339221727,245.91357221632765,LEC
21,144.66920075988796,142.71829228993874,LEC
22,95.76626546231851,92.58423525138754,LEC
23,122.64272144629336,120.29741986155369,LEC
24,227.0468225511846,218.7609534916402,LEC
25,,255.1781256,RIC
