Minisector,HAM,NOR,Fastest
0,247.2014824911207,248.92023658495242,NOR
1,135.8814243185423,132.52568729435228,HAM
2,276.80021697374696,284.5061429772922,NOR
3,315.37128679336854,321.13794307838185,NOR
4,297.488320279001,302.11367534069547,NOR
5,320.124902081724,321.72646224400404,NOR
6,321.0482856484571,323.7565595675914,NOR
7,316.7059284658205,318.6249999259259,NOR
8,200.15290204511322,191.7946309380069,HAM
9,187.73097491045235,198.01452303466223,NOR
10,175.91001217154945,170.67441526396564,HAM
11,169.50651106734574,174.0463372030577,NOR
12,245.56220148201078,252.26282902042675,NOR
13,264.0211559920251,265.97290403127545,NOR
14,266.44419062439545,261.8956148092734,HAM
15,251.69332343673472,242.39878870532206,HAM
16,173.93122395283217,167.98587702373146,HAM
17,188.7944882551974,189.2418530141967,NOR
18,254.90264165050965,256.1103353993431,NOR
19,303.22093512936834,306.23092775949414,NOR
20,316.69313519777853,323.59619625727714,NOR
21,291.7846091279015,314.1261579345634,NOR
22,275.23082002381227,300.4575085655027,NOR
23,247.03442271845972,220.1518417667308,HAM
24,117.62576080052722,120.65295153673092,NOR
