Minisector,ALO,BOT,Fastest
0,293.0069773371928,287.46125376394696,ALO
1,302.27758514781334,297.34106397645763,ALO
2,283.61384314805196,274.67417466758457,ALO
3,107.39538551425983,109.3312127466891,BOT
4,216.23740304212558,220.07746828926633,BOT
5,268.4374090727144,264.12637051289386,ALO
6,210.34394730020202,209.89528626358052,ALO
7,158.85062010210817,159.8508062634077,BOT
8,205.5177236136073,202.27518097875458,ALO
9,218.23608989460317,209.94442546379688,ALO
10,111.44535749974469,118.69848458616056,BOT
11,227.06326542849035,220.69648758419228,ALO
12,112.50517530584742,115.25429788972316,BOT
13,208.5011818686984,218.11015032303172,BOT
14,280.8530401029864,267.76058652727517,ALO
15,213.47461207958202,212.02442367140125,ALO
16,191.95608668020867,180.83950204975469,ALO
17,250.37905886042327,244.41198901221856,ALO
18,189.917186751439,202.66311955618124,BOT
19,175.83710832669553,180.73549021221882,BOT
20,261.06107962758097,256.8082293179826,ALO
21,290.4767458613564,281.97325380045396,ALO
22,166.40794381795092,167.47252314099222,BOT
23,209.20367448380952,203.4412787212182,ALO
24,275.15442051288267,266.10807139503123,ALO
25,292.8687488,280.592380952381,ALO
