Minisector,LEC,TSU,Fastest
0,295.04088312844476,294.7299877512739,LEC
1,307.8793441935802,306.6285052667403,LEC
2,310.0053031653333,306.52482978500797,LEC
3,179.26067366089532,182.8513619963049,TSU
4,208.48930299418373,213.29179264804077,TSU
5,199.87964147138322,200.89765470071475,TSU
6,265.70924595722244,261.569631482353,LEC
7,238.95296673500843,251.68250443015057,TSU
8,210.2014105678718,206.00186803480844,LEC
9,210.36466311416257,206.47329936317433,LEC
10,134.37480616440575,143.04992517242675,TSU
11,196.24526668580404,189.91641363788753,LEC
12,182.71623081265744,192.43914162948005,TSU
13,255.29464775495074,250.707417781271,LEC
14,172.76470643152382,177.2626754241512,TSU
15,232.683668294552,237.40435284799835,TSU
16,281.8175047083901,282.09499796680274,TSU
17,290.9136937694967,293.02111108972593,TSU
18,277.88605347520297,284.3273875705041,TSU
19,260.0936625632608,263.34426568550964,TSU
20,264.34847397101447,259.8726584124527,LEC
21,261.0905640194116,265.1665437385621,TSU
22,227.42852896920178,225.54597514517374,LEC
23,207.8195837758192,210.2823482521811,TSU
24,273.7734404252169,271.5020740941774,LEC
