Minisector,PIA,HAM,Fastest
0,324.5711478774532,325.52435199818086,HAM
1,335.35640428072816,334.4604630602385,PIA
2,335.7236457617778,338.0723322709915,HAM
3,196.61253144724046,194.33689479111112,PIA
4,140.18553836655272,137.02988187356985,PIA
5,267.9003567289559,268.2681041551323,HAM
6,302.9843779924007,302.25655067897833,PIA
7,315.96630691723965,318.61387434301616,HAM
8,263.48992102352094,281.9876959240514,HAM
9,144.5871651207869,142.92033550209604,PIA
10,224.89002219577964,231.43905467790657,HAM
11,234.6798029399756,234.03500244605246,PIA
12,208.54984814861496,207.15255671988822,PIA
13,272.28121416932277,270.46637423276746,PIA
14,309.01127801139904,307.91752458593686,PIA
15,321.03818993246756,325.49287827482993,HAM
16,274.38449429223107,276.4719768560501,HAM
17,221.59260225837684,214.4454999605346,PIA
18,282.912743236223,280.3949155652896,PIA
19,312.6957709157287,311.49707143585374,PIA
20,325.21008204035275,326.6763277758922,HAM
21,300.716084924041,314.7857521142857,HAM
22,214.44373477136713,213.79434614119813,PIA
23,269.7366264180316,271.5194623037441,HAM
24,305.0069215588007,304.36844539934015,PIA
25,318.6625008,,PIA
