Minisector,VER,PIA,Fastest
0,313.0249300945454,328.99536458333336,PIA
1,239.11125580060215,224.6163542746495,VER
2,133.00903303351043,134.93163562999501,PIA
3,222.07111086814814,220.3673149511111,VER
4,266.98248891241434,265.1332098765432,VER
5,293.5279218346194,292.57598897582415,VER
6,309.1378039595828,302.0974172511006,VER
7,284.4645041756863,279.1014705882353,VER
8,175.34213218812462,178.86279056183682,PIA
9,241.46318682373922,240.12661375661375,VER
10,274.61793762329637,266.97339002267574,VER
11,260.6290446682353,260.42648838857144,VER
12,210.62384405665324,214.91852813852813,PIA
13,125.61400374621779,127.73583673283208,PIA
14,123.84842381442586,122.41025450598295,VER
15,156.832334709506,179.08008752117448,PIA
16,124.4088212451245,120.78286357532279,VER
17,229.4544251668027,229.95469576719577,PIA
18,186.91808807081406,189.13568091296554,PIA
19,164.32442364014074,160.5726189883598,VER
20,245.13143441955418,247.00479156926647,PIA
21,275.3228839068783,276.4288515406163,PIA
22,294.1273563854912,293.5711764287582,VER
23,306.29126107493767,304.4315056325386,VER
24,311.7412202666667,310.4019814814815,VER
25,,312.0,PIA
