Minisector,STR,RUS,Fastest
0,276.60810216299205,275.7096921859364,STR
1,294.8015348240628,298.06579888126987,RUS
2,294.41944565163635,300.5280451753383,RUS
3,175.32290018759736,186.6509122446011,RUS
4,116.50839740190851,115.04919989263931,STR
5,232.73274100072396,237.69382022137668,RUS
6,279.4822975965368,282.1328093528839,RUS
7,291.67586017567976,299.4745823893333,RUS
8,166.7654713614849,174.75886725916519,RUS
9,132.10289305877606,139.09874044564282,RUS
10,248.60742469968253,252.02306208211198,RUS
11,287.5163632597903,290.10365876285715,RUS
12,295.9162464278261,300.15484160345153,RUS
13,276.74534350892094,282.26575990327274,RUS
14,301.8049473466431,305.6457487176289,RUS
15,303.48736429982233,314.12309270690906,RUS
16,235.21136071428572,241.13430489069827,RUS
17,221.6337122521498,223.7422495154023,RUS
18,281.1918147679703,280.2418217264294,STR
19,304.87495516226755,306.5999779622857,RUS
20,309.42008465019,314.2333361058647,RUS
21,224.20164498438297,227.79888567827678,RUS
22,255.55217617411907,260.85070448862285,RUS
23,140.8158664945964,132.69578746146297,STR
24,208.1681182201369,213.28115711472202,RUS
25,257.3625024,,STR
