Minisector,PIA,PER,Fastest
0,303.07624460720496,307.9995019788101,PER
1,139.22729312674522,145.44106446509926,PER
2,211.3151119808311,212.32884492913038,PER
3,271.857040080202,271.8636362938932,PER
4,310.24183106039624,310.96120046553483,PER
5,316.5437320494686,318.3794371733333,PER
6,145.96079780854927,151.76315168793604,PER
7,237.3251408582369,241.1025171220604,PER
8,111.83640716759457,117.20044767418412,PER
9,143.78593585528515,145.63849105837772,PER
10,271.37785314922735,268.21199380005913,PIA
11,295.901779464127,298.393198949234,PER
12,251.67264187798625,254.02299082881564,PER
13,150.8445755160602,150.16250114975057,PIA
14,271.13217456716757,269.28501151966196,PIA
15,305.8635881916958,304.37941712761904,PIA
16,321.6876458155102,321.4341837305263,PIA
17,329.3618526247304,330.13770475539394,PER
18,335.41177978666667,332.38980444554255,PIA
19,337.10853114897503,328.94216996,PIA
20,229.02520965561763,220.2360796776287,PIA
21,154.55805110528152,155.16001755089948,PER
22,271.2532397639548,271.88842582423086,PER
23,311.1722722143245,308.77526290438095,PIA
24,325.05141227082254,323.8186756178537,PIA
