Minisector,PER,RUS,Fastest
0,281.8640350315789,280.03725054839003,PER
1,157.51691449862537,151.06787495985893,PER
2,175.273571884088,174.65376805617427,PER
3,245.09765668688644,247.35610528136942,RUS
4,277.3854341277702,280.7466079344427,RUS
5,246.50199065671393,243.70847859938715,PER
6,227.74385166261808,225.88809458637587,PER
7,160.12923715152075,157.3377163842735,PER
8,230.06793618751897,230.51537469561907,RUS
9,277.3574397658874,279.1406536332182,RUS
10,296.0202167716384,296.71533855445017,RUS
11,306.16257517233083,304.45149828322394,PER
12,309.72676767030305,307.262439834814,PER
13,307.1784431109788,299.5159602359596,PER
14,126.3119024425292,137.08193651269227,RUS
15,112.54846789329156,122.12061438104394,RUS
16,98.79810827495146,93.9811463175521,PER
17,235.58210230095236,229.5538005903291,PER
18,282.2592963398818,285.59052108639804,RUS
19,302.4924060642517,301.16834785497076,PER
20,314.0126625102222,309.1584606556226,PER
21,317.43272323428573,309.3933734649351,PER
22,122.28203178904718,137.9060097959564,RUS
23,205.1069928638133,190.10112398537586,PER
24,262.1040353253594,262.4314693775007,RUS
25,,278.5321426285714,RUS
