Minisector,RUS,LAW,Fastest
0,303.3596076238095,295.7699415047873,RUS
1,151.48999878799566,148.0673919912557,RUS
2,215.39604823318427,215.66682981251478,LAW
3,287.4127030289947,288.09548685920157,LAW
4,317.6817009454682,314.17998846003655,RUS
5,316.692346486712,312.99777271725253,RUS
6,159.99097724931576,168.56938794164398,LAW
7,124.97367840915223,125.65282159907699,LAW
8,258.4135084497769,253.15233362050358,RUS
9,299.75714679054624,296.18546870349377,RUS
10,298.4210704457143,295.63348187759954,RUS
11,136.60051076852858,129.1934761377223,RUS
12,176.51283707657515,179.4088622906964,LAW
13,246.10367997598073,250.3329030927636,LAW
14,185.01211648326532,179.03561009926233,RUS
15,194.13031202594945,201.05359647324136,LAW
16,195.73702794533466,190.71862530144102,RUS
17,231.13929847521644,232.85020872761908,LAW
18,280.3910049901982,278.96698819181285,RUS
19,297.0346538714286,294.29411764705884,RUS
20,239.95693201904845,235.85200662768804,RUS
21,200.5576733867886,192.11141934037735,RUS
22,189.79439182368594,185.34166989236044,RUS
23,269.99198008599296,266.47975755979564,RUS
24,310.7395209052281,299.5534723259259,RUS
25,318.1666666666667,,RUS
