Minisector,PER,GAS,Fastest
0,291.8805278734288,287.26990307145564,PER
1,299.70472746666667,290.40652223238095,PER
2,164.7868856979581,163.55138431180828,PER
3,223.9550864529323,224.81785697823807,GAS
4,273.234751325042,271.2892419242756,PER
5,293.08037542457913,290.5657711207359,PER
6,303.0314627256565,294.847443099798,PER
7,175.7608861197616,175.10066511299303,PER
8,126.01764359560609,124.52477422423706,PER
9,247.51591458861074,246.12662386683232,PER
10,284.2280849662337,283.0693506816642,PER
11,297.30808257212124,291.2316504483129,PER
12,148.5958773113473,145.13991970409813,PER
13,191.05614014894016,192.6342551557272,GAS
14,256.5513513812387,251.70300434436257,PER
15,208.38352224620212,206.39918948468758,PER
16,214.87565966101207,216.16362514285714,GAS
17,215.48045461478458,208.11744938519655,PER
18,240.54546292664998,243.18710528336555,GAS
19,275.21556224560146,275.4402833682778,GAS
20,291.30080570687966,288.20375003733335,PER
21,261.7788755241099,260.9994454065934,PER
22,223.10624326894924,220.23086826591378,PER
23,204.69136616847888,204.80705420704604,GAS
24,265.21552557825055,261.68220187247715,PER
