Minisector,RIC,NOR,Fastest
0,291.00545153576536,301.10916598897967,NOR
1,300.4199544743764,320.6419484150376,NOR
2,305.6767838889357,328.98250537724783,NOR
3,300.3203323584606,325.01480081676203,NOR
4,203.4639485998577,198.00038877604675,RIC
5,224.0883009622081,226.32913521550975,NOR
6,268.14756669482404,271.1571232193404,NOR
7,275.32123808431385,269.4306897252304,RIC
8,197.63206008553462,193.25011518525346,RIC
9,160.81485625416667,155.89816897405473,RIC
10,190.1335238854261,186.25656722331078,RIC
11,259.97758765714286,263.3299683710145,NOR
12,253.95866743466667,252.80533422933334,RIC
13,236.35104715721954,233.1286980588401,RIC
14,268.0141265289926,276.39126963809525,NOR
15,182.335993627564,176.9055811367667,RIC
16,224.94910605500283,220.8206780839506,RIC
17,249.5459237109975,236.34813389152873,RIC
18,141.1530990251596,135.71261485140397,RIC
19,241.2795379873016,246.13433491237225,NOR
20,279.39002565656784,285.9383500770975,NOR
21,260.25913638968785,249.43679669793033,RIC
22,150.63375598536115,142.25620223141723,RIC
23,215.20977277230028,209.18745632489524,RIC
24,271.12190864593987,273.8135818805195,NOR
25,284.3357129142857,,RIC
