Minisector,RUS,STR,Fastest
0,257.1362515843518,260.9417975697828,STR
1,125.64276338007923,127.29979744467609,STR
2,258.78707854008906,254.13046863737273,RUS
3,304.5576116391096,301.0203406363215,RUS
4,308.0780403492675,301.04117750836457,RUS
5,317.16328570148573,305.6982110933333,RUS
6,324.42058970812894,311.5235999744,RUS
7,326.03683486188265,310.3903683889459,RUS
8,189.2880746099453,192.22033380578,STR
9,190.82044574648666,187.74854897133383,RUS
10,183.7097684632344,183.99713406359535,STR
11,169.6439719279949,166.28569620124682,RUS
12,250.88983319372002,250.36778434116465,RUS
13,260.93891609790467,274.41851805180954,STR
14,271.4025777561097,274.66832363822056,STR
15,270.2312002760427,259.8280961813825,RUS
16,175.87634831209664,176.3179370488889,STR
17,182.53796784303523,182.19580870282462,RUS
18,225.41690519503697,230.7728186410368,STR
19,279.72135139121417,281.9548723301587,STR
20,305.41640773079365,305.79046889432544,STR
21,314.4179887144577,313.32449998019047,RUS
22,313.7851147493878,312.78541476217174,RUS
23,251.55444050938377,237.01629957751803,RUS
24,110.11973550293128,110.32821102478312,STR
25,223.42500195555556,,RUS
