Minisector,HAM,ZHO,Fastest
0,297.7533770178958,312.47390310520433,ZHO
1,225.03533011674662,196.05563406560847,HAM
2,231.41943866920926,223.0385100214343,HAM
3,277.29851057012576,279.3513102701631,ZHO
4,247.73490686788767,234.70272305117652,HAM
5,130.5431826382074,126.58220633646047,HAM
6,212.74547124370116,210.32017960992835,HAM
7,262.2047462460229,262.3414091076274,ZHO
8,254.56326635267826,238.58470147415778,HAM
9,244.2700701465819,233.30992741217287,HAM
10,274.57708633293123,272.4783134554497,HAM
11,290.8835490457143,288.10320100792006,HAM
12,297.698206054321,301.90897727777354,ZHO
13,300.9802400875176,313.86011390640573,ZHO
14,296.2762999707268,312.97642896754206,ZHO
15,258.70694973308593,253.2790064312576,HAM
16,249.32064895629716,241.16412482057905,HAM
17,278.3891690057836,281.889761796698,ZHO
18,289.97823529809017,304.4456124357446,ZHO
19,159.10792780021973,153.50474969711286,HAM
20,212.0191228160031,203.27714392467385,HAM
21,204.7820179439653,179.38951416634922,HAM
22,136.55771370105015,140.91817323296536,ZHO
23,243.95849424241646,237.85970422375132,HAM
24,280.3081356504473,292.6539097557012,ZHO
25,,305.9437504,ZHO
