Minisector,SAI,ALB,Fastest
0,278.4627191690949,276.81374724624794,SAI
1,298.46063797457543,298.0526604299847,SAI
2,297.38909087996166,297.40263543191156,ALB
3,193.88822444198385,176.3954887433739,SAI
4,121.984666765497,116.97855608922998,SAI
5,236.58592106691006,238.8121151789598,ALB
6,280.35137640221177,280.7891573462743,ALB
7,295.906988228598,294.03288336009643,SAI
8,191.68485846232718,182.6378303000526,SAI
9,148.69951110924617,134.8504669682305,SAI
10,253.1794368720366,251.99598748213467,SAI
11,289.5686260197464,289.25804357830225,SAI
12,303.45206535966247,303.7705891786412,ALB
13,288.3587500380952,285.4288564847304,SAI
14,297.7086239698866,298.3293244154756,ALB
15,292.8340896026446,301.28992413737376,ALB
16,262.5459764050832,253.6984978130828,SAI
17,241.05963096684607,229.98934019803,SAI
18,277.6991253399586,282.32892600849175,ALB
19,296.4695597371237,299.46347861515045,ALB
20,300.86662917591497,305.9186420097343,ALB
21,249.39170000377132,239.63755586608056,SAI
22,269.4359607564199,264.3352226205889,SAI
23,145.45113951455252,137.63650736837246,SAI
24,224.00800608611348,222.24489433601426,SAI
