Minisector,LEC,PER,Fastest
0,281.16509490784756,284.8371156675571,PER
1,140.9995821873924,138.5685749334748,LEC
2,218.09368299109232,212.87002820519484,LEC
3,284.83063833925235,285.7144837141395,PER
4,320.9527356735352,321.8541111035477,PER
5,307.28530653998047,306.54849624060154,LEC
6,149.15110610492636,150.69959933052036,PER
7,237.45472132155626,239.182930793417,PER
8,108.35926835580719,106.97880700301162,LEC
9,172.0599299017348,172.16445698158037,PER
10,280.8129018685278,276.7613122102831,LEC
11,302.03925061776664,300.1092281058602,LEC
12,210.96826513572393,215.85737199229214,PER
13,175.074268743971,179.63098111845244,PER
14,281.7168758717616,278.4711927212941,LEC
15,313.77793449858586,310.2295367724229,LEC
16,326.2399648386755,323.58825662973373,LEC
17,335.29543187704695,332.41274810351916,LEC
18,345.79902214659035,343.9725511244779,LEC
19,351.80381268600956,348.4205760986466,LEC
20,197.1143704343999,189.56850902996877,LEC
21,158.185010225235,176.55278753983922,PER
22,276.7993358743928,276.5379301941228,LEC
23,310.46114530211514,309.13409332962124,LEC
24,319.3692495455704,320.82582972582975,PER
