Minisector,VET,MAG,Fastest
0,298.0252604666667,291.43019437654226,VET
1,307.9524234122449,300.78584017914534,VET
2,172.496415550193,165.5745804619355,VET
3,231.00312512,222.82906136000003,VET
4,280.42923379237095,274.5427187639266,VET
5,298.55559032165684,294.15426751681895,VET
6,304.34000000000003,302.9139136,VET
7,179.6441971047619,158.6314152493572,VET
8,133.84202368,133.28244764444443,VET
9,254.215942523465,249.65980807974069,VET
10,286.484375,284.5455876392157,VET
11,299.44973953333334,297.18125053333335,VET
12,154.04209280540087,149.40901238666666,VET
13,196.84373643395446,195.89519139459279,VET
14,264.80812266078175,262.4222220444444,VET
15,203.63405787826088,197.24456658550724,VET
16,226.58486782643362,220.77992735503895,VET
17,219.86746031746029,214.69560710385485,VET
18,250.71947786232494,243.58720265983237,VET
19,280.680638634822,276.4975484235294,VET
20,296.6306372392157,294.4528643333333,VET
21,262.20485501632356,250.22086687830688,VET
22,230.07395882666665,213.53325093433622,VET
23,206.93465856969698,203.4053123826785,VET
24,267.2186273882353,267.47542077058387,MAG
25,286.7,,VET
