Minisector,RIC,BOT,Fastest
0,285.8899128633555,306.05689298590477,BOT
1,204.3184907972286,213.67613214253677,BOT
2,229.30063331470643,226.9023478866658,RIC
3,270.14713266996824,278.56797861248555,BOT
4,241.85030611696067,256.8785974230549,BOT
5,131.48899862729834,131.64712260652274,BOT
6,209.0348269619961,210.2700285238243,BOT
7,257.5945347049158,255.16470542933845,RIC
8,241.9563964514152,237.3510352578266,RIC
9,230.0555011646984,232.44098008180777,BOT
10,272.4553747559116,273.90761638617283,BOT
11,289.3907335205776,292.7011923466667,BOT
12,299.44845481058985,303.53328061460314,BOT
13,304.89595239619047,309.73146936541355,BOT
14,298.9607370565079,307.69730649685846,BOT
15,253.02570679175008,253.3338635116883,BOT
16,239.63947326960874,234.38082752737654,RIC
17,276.57753585546595,275.8483483173449,RIC
18,282.4660225890909,290.42563371391907,BOT
19,150.99674003907165,157.68334936300798,BOT
20,210.22464146584622,209.70548205509562,RIC
21,185.4690814998286,189.39148995809526,BOT
22,136.3568056222364,137.14311848250307,BOT
23,234.4648304378538,237.3954817297501,BOT
24,275.44515635232057,278.3358339940136,BOT
25,285.12999936,288.73500032,BOT
