Minisector,RUS,OCO,Fastest
0,287.78633007414646,289.16738056272106,OCO
1,297.88356554308126,299.47208065274174,OCO
2,270.64293791492065,280.71384165502644,OCO
3,108.9730352518624,107.82185461847209,RUS
4,217.1561518880465,218.1366187432497,OCO
5,268.58119417918675,269.4270815464141,OCO
6,211.0730583780642,209.0634820192555,RUS
7,159.25679642763427,154.48630091956267,RUS
8,216.98895831752776,209.79100489158608,RUS
9,219.8042824521368,213.59205718556143,RUS
10,111.77861468290442,113.64753348116183,OCO
11,224.62309989812778,221.4555014992208,RUS
12,111.32352613092834,114.2465064923356,OCO
13,214.7432339635108,208.55494381409866,RUS
14,273.4428390387686,271.0937280609524,RUS
15,215.01329622839003,221.9490109645977,OCO
16,195.63637471511692,182.34368429156967,RUS
17,248.54767187936508,247.80664816695653,RUS
18,199.85630137874497,211.2369570208073,OCO
19,178.62921657482764,159.02188783169655,RUS
20,258.7858097156514,257.52878227438015,RUS
21,285.7337686067019,285.2187421806098,RUS
22,171.09029766069472,179.81975151863637,OCO
23,212.7017653079365,188.61214590838867,RUS
24,268.7730121191526,262.0081541053968,RUS
25,281.0,279.26666666666665,RUS
