Minisector,PIA,SAI,Fastest
0,324.5711478774532,323.3143576140837,PIA
1,335.35640428072816,333.2775759890743,PIA
2,335.7236457617778,329.7467106021053,PIA
3,196.61253144724046,199.34936568710117,SAI
4,140.18553836655272,125.51859319515145,PIA
5,267.9003567289559,268.0322416643386,SAI
6,302.9843779924007,303.5092418515304,SAI
7,315.96630691723965,316.1075310012422,SAI
8,263.48992102352094,283.7322927748148,SAI
9,144.5871651207869,147.47978489395584,SAI
10,224.89002219577964,219.27582070299763,PIA
11,234.6798029399756,221.1873198135007,PIA
12,208.54984814861496,195.44582914089025,PIA
13,272.28121416932277,268.5877575345637,PIA
14,309.01127801139904,306.8004103442015,PIA
15,321.03818993246756,325.81108164190476,SAI
16,274.38449429223107,281.8330535333333,SAI
17,221.59260225837684,208.26944292461945,PIA
18,282.912743236223,274.9895627062857,PIA
19,312.6957709157287,309.2987323714634,PIA
20,325.21008204035275,324.99864559703707,PIA
21,300.716084924041,313.5423803332674,SAI
22,214.44373477136713,199.14459846299647,PIA
23,269.7366264180316,263.2455064114838,PIA
24,305.0069215588007,304.42093258361905,PIA
25,318.6625008,316.18392868571425,PIA
